측정소명,오존농도(ppm),미세먼지(㎍/㎥),초미세먼지(㎍/㎥)
서초구,0.041,30,11
성동구,0.05,32,14
성북구,0.043,35,14
세곡,0.036,36,16
송파구,0.043,34,17
시흥대로,0.026,39,18
신촌로,0.033,34,15
양천구,0.042,29,14
영등포구,0.041,30,14
영등포로,0.035,33,14
올림픽공원,0.045,29,16
용산구,0.049,33,17
은평구,0.045,34,18
자연사박물관,0.051,27,11
정릉로,0.039,32,15
종로,0.038,31,14
종로구,0.05,29,13
중구,0.048,24,13
중랑구,0.05,31,14
천호대로,0.038,39,16
청계천로,0.04,33,15
한강대로,0.025,51,21
항동,0.033,29,11
행주,0.041,31,12
홍릉로,0.039,35,15
화랑로,0.041,31,16
강남구,0.051,28,15
강남대로,0.035,37,17
강동구,0.048,28,14
강변북로,0.029,38,16
강북구,0.057,26,13
강서구,0.052,30,13
공항대로,0.042,33,14
관악구,0.05,31,16
관악산,0.062,25,12
광진구,0.049,29,14
구로구,0.048,34,13
금천구,0.049,28,14
남산,0.059,26,13
노원구,0.053,26,13
도봉구,0.063,24,12
도산대로,0.045,33,16
동대문구,0.058,30,14
동작구,0.052,29,17
동작대로,0.042,39,18
마포구,0.049,28,13
마포아트센터,0.061,30,12
북한산,0.056,24,12
서대문구,0.058,27,10
서울숲,0.049,37,12
서초구,0.047,31,12
성동구,0.053,32,15
성북구,0.049,32,13
세곡,0.043,32,14
송파구,0.043,33,18
시흥대로,0.04,36,18
신촌로,0.037,34,17
양천구,0.048,25,14
영등포구,0.048,26,14
영등포로,0.039,31,15
올림픽공원,0.049,28,17
용산구,0.055,31,18
은평구,0.052,39,19
자연사박물관,0.057,27,12
정릉로,0.043,32,15
종로,0.044,30,14
종로구,0.054,28,14
중구,0.054,24,14
중랑구,0.055,29,14
천호대로,0.044,31,14
청계천로,0.046,33,16
한강대로,0.032,43,19
항동,0.041,28,14
행주,0.047,27,11
홍릉로,0.042,31,16
화랑로,0.048,29,16
강남구,0.035,23,12
강남대로,0.025,31,10
강동구,0.034,20,10
강변북로,0.021,28,11
강북구,0.044,24,13
강서구,0.041,28,12
공항대로,0.032,32,14
관악구,0.044,24,12
관악산,0.061,18,9
광진구,0.038,22,11
구로구,0.039,29,14
금천구,0.042,20,10
남산,0.054,18,9
노원구,0.042,23,13
도봉구,0.046,21,10
도산대로,0.032,27,12
동대문구,0.042,25,12
동작구,0.044,22,14
동작대로,0.029,28,11
마포구,0.04,24,11
마포아트센터,0.049,24,9
북한산,0.043,18,10
서대문구,0.048,21,9
서울숲,0.035,29,9
서초구,0.037,23,7
성동구,0.043,26,12
성북구,0.036,27,11
세곡,0.034,26,11
송파구,0.038,26,12
시흥대로,0.026,32,14
신촌로,0.031,29,13
양천구,0.038,22,12
영등포구,0.038,24,14
영등포로,0.032,26,12
올림픽공원,0.035,21,13
용산구,0.041,26,15
은평구,0.047,22,13
자연사박물관,0.046,22,8
정릉로,0.029,26,14
종로,0.028,30,12
종로구,0.038,23,13
중구,0.035,23,14
중랑구,0.042,23,10
천호대로,0.03,26,11
청계천로,0.029,30,16
한강대로,0.024,49,20
항동,0.036,21,9
행주,0.038,26,11
홍릉로,0.033,27,14
화랑로,0.029,25,13
강남구,0.038,14,6
강남대로,0.028,24,6
강동구,0.036,12,5
강변북로,0.027,16,5
강북구,0.037,13,6
강서구,0.04,18,6
공항대로,0.033,22,10
관악구,0.04,17,6
관악산,0.053,12,7
광진구,0.039,12,5
구로구,0.039,19,5
금천구,0.043,12,5
남산,0.049,10,5
노원구,0.036,13,6
도봉구,0.04,10,5
도산대로,0.035,16,7
동대문구,0.045,14,6
동작구,0.043,16,9
동작대로,0.032,22,8
마포구,0.043,16,5
마포아트센터,0.051,13,5
북한산,0.036,9,3
서대문구,0.045,12,4
서울숲,0.037,16,4
서초구,0.037,14,3
성동구,0.043,16,7
성북구,0.035,16,6
세곡,0.033,17,6
송파구,0.038,16,6
시흥대로,0.022,25,11
신촌로,0.036,19,6
양천구,0.035,14,6
영등포구,0.039,16,7
영등포로,0.034,18,8
올림픽공원,0.038,11,6
용산구,0.04,17,11
은평구,0.04,14,9
자연사박물관,0.048,10,6
정릉로,0.03,17,7
종로,0.032,19,5
종로구,0.042,13,7
중구,0.04,12,7
중랑구,0.04,13,5
천호대로,0.03,17,5
청계천로,0.034,17,8
한강대로,0.027,29,11
항동,0.029,16,4
행주,0.036,14,5
홍릉로,0.034,18,7
화랑로,0.028,17,8
강남구,0.039,16,7
강남대로,0.029,24,7
강동구,0.037,17,6
강변북로,0.035,15,5
강북구,0.04,18,8
강서구,0.04,23,8
공항대로,0.036,24,9
관악구,0.039,18,8
관악산,0.044,21,7
광진구,0.042,16,6
구로구,0.039,23,6
금천구,0.043,18,7
남산,0.048,13,4
노원구,0.045,17,7
도봉구,0.045,12,6
도산대로,0.039,19,6
동대문구,0.045,18,7
동작구,0.039,20,11
동작대로,0.033,22,8
마포구,0.041,19,7
마포아트센터,0.05,15,4
북한산,0.039,11,5
서대문구,0.047,16,5
서울숲,0.042,21,2
서초구,0.039,15,3
성동구,0.045,19,7
성북구,0.038,18,5
세곡,0.036,20,6
송파구,0.04,19,7
시흥대로,0.024,24,10
신촌로,0.041,19,7
양천구,0.037,19,8
영등포구,0.038,20,9
영등포로,0.034,22,8
올림픽공원,0.04,13,8
용산구,0.041,19,9
은평구,0.043,17,10
자연사박물관,0.047,13,3
정릉로,0.034,20,9
종로,0.034,20,7
종로구,0.043,16,8
중구,0.041,15,8
중랑구,0.041,18,6
천호대로,0.035,20,6
청계천로,0.039,18,8
한강대로,0.029,25,11
항동,0.036,17,3
행주,0.036,20,7
홍릉로,0.037,18,8
화랑로,0.034,20,8
강남구,0.04,26,11
강남대로,0.031,35,12
강동구,0.037,29,12
강변북로,0.027,32,10
강북구,0.046,27,11
강서구,0.042,30,12
공항대로,0.031,35,16
관악구,0.04,26,11
관악산,0.048,22,8
광진구,0.039,27,11
구로구,0.042,33,12
금천구,0.043,26,10
남산,0.047,24,9
노원구,0.045,25,11
도봉구,0.049,23,8
도산대로,0.036,31,11
동대문구,0.042,27,11
동작구,0.043,28,14
동작대로,0.034,30,11
마포구,0.04,27,11
마포아트센터,0.049,30,9
북한산,0.042,21,9
서대문구,0.047,28,10
서울숲,0.04,43,8
서초구,0.042,27,8
성동구,0.043,29,12
성북구,0.04,29,10
세곡,0.037,31,12
송파구,0.038,30,13
시흥대로,0.035,30,14
신촌로,0.03,35,13
양천구,0.039,28,13
영등포구,0.038,26,13
영등포로,0.033,29,13
올림픽공원,0.04,26,12
용산구,0.039,30,14
은평구,0.041,36,17
자연사박물관,0.046,25,9
정릉로,0.033,29,14
종로,0.035,27,10
종로구,0.042,28,12
중구,0.042,22,11
중랑구,0.041,27,11
천호대로,0.031,34,11
청계천로,0.037,27,12
한강대로,0.024,39,16
항동,0.039,25,9
행주,0.04,27,9
홍릉로,0.035,27,13
화랑로,0.038,29,12
강남구,0.031,34,18
강남대로,0.021,38,19
강동구,0.03,35,18
강변북로,0.017,40,19
강북구,0.04,35,20
강서구,0.032,40,20
공항대로,0.024,44,23
관악구,0.033,34,19
관악산,0.053,30,17
광진구,0.031,35,18
구로구,0.033,38,17
금천구,0.034,31,17
남산,0.044,31,15
노원구,0.038,35,19
도봉구,0.039,31,17
도산대로,0.028,42,21
동대문구,0.037,37,20
동작구,0.035,33,20
동작대로,0.026,37,19
마포구,0.033,37,18
마포아트센터,0.042,35,17
북한산,0.04,28,16
서대문구,0.039,33,18
서울숲,0.03,55,19
서초구,0.03,38,17
성동구,0.036,40,20
성북구,0.03,37,19
세곡,0.03,32,16
송파구,0.029,38,19
시흥대로,0.025,41,21
신촌로,0.023,41,21
양천구,0.029,36,19
영등포구,0.029,33,20
영등포로,0.022,39,20
올림픽공원,0.031,33,20
용산구,0.03,38,22
은평구,0.037,38,24
자연사박물관,0.04,33,17
정릉로,0.025,39,22
종로,0.027,37,18
종로구,0.035,35,20
중구,0.035,30,19
중랑구,0.038,37,19
천호대로,0.026,39,17
청계천로,0.029,37,20
한강대로,0.018,52,24
항동,0.027,31,15
행주,0.026,35,17
홍릉로,0.028,39,21
화랑로,0.028,41,22
강남구,0.047,31,16
강남대로,0.036,37,16
강동구,0.041,34,18
강변북로,0.029,41,17
강북구,0.056,34,19
강서구,0.053,34,15
공항대로,0.045,37,16
관악구,0.053,31,16
관악산,0.072,30,14
광진구,0.043,34,18
구로구,0.049,36,13
금천구,0.05,29,15
남산,0.067,27,12
노원구,0.052,34,21
도봉구,0.056,30,16
도산대로,0.043,38,18
동대문구,0.053,35,18
동작구,0.051,32,19
동작대로,0.042,35,17
마포구,0.051,31,14
마포아트센터,0.061,30,13
북한산,0.056,27,14
서대문구,0.057,29,13
서울숲,0.044,60,16
서초구,0.046,31,13
성동구,0.049,36,18
성북구,0.044,37,17
세곡,0.042,34,15
송파구,0.045,34,17
시흥대로,0.04,33,17
신촌로,0.04,38,18
양천구,0.048,28,14
영등포구,0.049,32,16
영등포로,0.039,36,17
올림픽공원,0.044,33,18
용산구,0.046,35,19
은평구,0.053,35,18
자연사박물관,0.057,27,12
정릉로,0.041,36,20
종로,0.043,32,14
종로구,0.05,32,18
중구,0.05,26,16
중랑구,0.05,35,17
천호대로,0.041,38,16
청계천로,0.044,33,19
한강대로,0.031,48,21
항동,0.04,27,8
행주,0.042,30,12
홍릉로,0.039,37,20
화랑로,0.039,41,23
