측정소명,미세먼지(㎍/㎥),오존(ppm),일산화탄소농도(ppm),초미세먼지(㎍/㎥)
광진구,22,0.013,0.5,14
성동구,20,0.022,0.4,13
중랑구,23,0.017,0.4,13
동대문구,19,0.021,0.4,14
성북구,26,0.016,0.5,10
도봉구,19,0.025,0.3,13
강북구,25,0.021,0.4,13
노원구,24,0.022,0.4,18
강서구,26,0.02,0.3,14
구로구,24,0.021,0.3,10
영등포구,21,0.017,0.5,13
동작구,27,0.021,0.4,14
관악구,20,0.018,0.4,11
금천구,27,0.021,0.4,14
양천구,27,0.018,0.4,15
강남구,20,0.02,0.4,13
서초구,22,0.019,0.3,11
송파구,23,0.019,0.5,14
강동구,27,0.018,0.4,17
중구,67,0.02,0.6,47
종로구,56,0.02,0.7,41
용산구,70,0.013,0.6,34
은평구,56,0.022,0.7,43
서대문구,49,0.019,0.7,33
마포구,49,0.016,0.6,39
광진구,48,0.013,0.7,37
성동구,49,0.021,0.6,37
중랑구,54,0.016,0.7,34
동대문구,50,0.018,0.7,42
성북구,60,0.015,0.7,36
도봉구,50,0.021,0.6,41
강북구,61,0.019,0.6,39
노원구,56,0.027,0.6,46
강서구,62,0.02,0.4,39
구로구,60,0.019,0.5,40
영등포구,53,0.015,0.7,43
동작구,62,0.02,0.6,41
관악구,50,0.018,0.6,35
금천구,59,0.021,0.6,41
양천구,64,0.018,0.6,42
강남구,46,0.018,0.6,37
서초구,59,0.017,0.6,43
송파구,48,0.017,0.7,37
강동구,58,0.017,0.7,43
중구,51,0.013,0.7,34
종로구,45,0.015,0.7,33
용산구,52,0.009,0.6,27
은평구,40,0.018,0.6,29
서대문구,35,0.014,0.8,21
마포구,36,0.011,0.7,29
광진구,41,0.009,0.7,32
성동구,39,0.013,0.6,31
중랑구,45,0.011,0.7,29
동대문구,41,0.014,0.7,36
성북구,50,0.011,0.7,31
도봉구,42,0.016,0.5,34
강북구,47,0.015,0.6,31
노원구,47,0.013,0.7,38
강서구,46,0.014,0.4,30
구로구,45,0.014,0.4,30
영등포구,39,0.012,0.7,31
동작구,42,0.015,0.5,28
관악구,38,0.012,0.6,26
금천구,44,0.013,0.6,32
양천구,48,0.012,0.6,31
강남구,36,0.013,0.6,29
서초구,44,0.014,0.6,31
송파구,39,0.013,0.6,29
강동구,49,0.011,0.7,37
중구,43,0.009,0.7,25
종로구,36,0.013,0.7,23
용산구,45,0.008,0.6,21
은평구,30,0.013,0.6,19
서대문구,27,0.01,0.8,15
마포구,32,0.009,0.7,22
광진구,33,0.006,0.6,23
성동구,33,0.01,0.6,23
중랑구,35,0.008,0.7,21
동대문구,32,0.011,0.6,24
성북구,40,0.008,0.7,20
도봉구,31,0.014,0.5,23
강북구,37,0.013,0.6,21
노원구,36,0.011,0.7,27
강서구,39,0.01,0.4,21
구로구,38,0.011,0.5,19
영등포구,32,0.009,0.7,22
동작구,38,0.011,0.6,22
관악구,31,0.01,0.6,18
금천구,37,0.009,0.7,23
양천구,39,0.01,0.7,23
강남구,32,0.01,0.6,22
서초구,36,0.01,0.6,23
송파구,34,0.009,0.7,23
강동구,41,0.008,0.6,27
중구,34,0.017,0.5,19
종로구,30,0.019,0.5,19
용산구,38,0.013,0.4,16
은평구,25,0.018,0.5,14
서대문구,23,0.015,0.6,17
마포구,27,0.013,0.5,16
광진구,30,0.011,0.5,20
성동구,28,0.016,0.5,18
중랑구,31,0.015,0.5,17
동대문구,27,0.018,0.5,20
성북구,36,0.014,0.5,16
도봉구,29,0.019,0.4,19
강북구,37,0.016,0.5,19
노원구,36,0.016,0.6,24
강서구,34,0.016,0.3,18
구로구,33,0.016,0.4,13
영등포구,26,0.014,0.5,16
동작구,34,0.015,0.4,18
관악구,26,0.015,0.5,15
금천구,32,0.015,0.5,19
양천구,35,0.014,0.5,18
강남구,26,0.014,0.5,17
서초구,28,0.016,0.4,16
송파구,31,0.014,0.6,19
강동구,36,0.015,0.5,22
중구,29,0.025,0.4,16
종로구,26,0.024,0.4,17
용산구,36,0.018,0.4,13
은평구,24,0.028,0.5,13
서대문구,19,0.023,0.7,11
마포구,25,0.018,0.5,14
광진구,24,0.017,0.4,15
성동구,22,0.026,0.4,15
중랑구,24,0.021,0.4,14
동대문구,22,0.024,0.4,16
성북구,30,0.02,0.5,11
도봉구,22,0.028,0.3,14
강북구,28,0.024,0.4,15
노원구,29,0.03,0.4,19
강서구,28,0.021,0.4,14
구로구,28,0.022,0.3,12
영등포구,25,0.017,0.5,16
동작구,30,0.022,0.4,17
관악구,23,0.02,0.5,13
금천구,28,0.026,0.5,17
양천구,30,0.018,0.5,17
강남구,21,0.023,0.5,14
서초구,23,0.024,0.4,13
송파구,26,0.024,0.5,16
강동구,29,0.021,0.5,18
중구,37,0.014,0.5,19
종로구,34,0.014,0.6,20
용산구,43,0.009,0.5,17
은평구,31,0.017,0.7,17
서대문구,26,0.013,0.9,11
마포구,32,0.011,0.5,19
광진구,30,0.009,0.5,20
성동구,28,0.017,0.5,18
중랑구,34,0.011,0.5,18
동대문구,30,0.014,0.6,21
성북구,39,0.012,0.7,16
도봉구,31,0.019,0.4,19
강북구,39,0.014,0.5,19
노원구,36,0.021,0.5,23
강서구,36,0.017,0.5,17
구로구,35,0.015,0.4,13
영등포구,31,0.012,0.6,18
동작구,39,0.012,0.5,20
관악구,28,0.012,0.5,15
금천구,34,0.012,0.5,18
양천구,38,0.013,0.5,19
강남구,28,0.012,0.6,17
서초구,33,0.013,0.5,18
송파구,33,0.011,0.6,20
강동구,40,0.009,0.4,24
중구,37,0.016,0.5,19
종로구,32,0.015,0.6,21
용산구,39,0.01,0.5,17
은평구,25,0.018,0.7,15
서대문구,23,0.014,1.1,11
마포구,32,0.01,0.6,20
광진구,29,0.01,0.5,20
성동구,29,0.012,0.5,20
중랑구,29,0.015,0.5,16
동대문구,28,0.01,0.6,20
성북구,33,0.011,0.7,15
도봉구,27,0.017,0.4,18
강북구,34,0.016,0.5,18
노원구,33,0.02,0.4,22
강서구,37,0.015,0.6,19
구로구,35,0.014,0.4,14
영등포구,30,0.009,0.6,19
동작구,36,0.013,0.5,20
관악구,29,0.012,0.6,17
금천구,37,0.012,0.6,22
양천구,38,0.011,0.5,21
강남구,29,0.012,0.6,19
서초구,31,0.014,0.5,17
송파구,32,0.013,0.6,20
강동구,36,0.013,0.4,22
중구,30,0.018,0.5,16
종로구,28,0.018,0.6,18
용산구,32,0.013,0.5,14
은평구,25,0.02,0.7,15
서대문구,22,0.016,1,10
마포구,23,0.014,0.5,14
광진구,23,0.012,0.5,16
성동구,24,0.016,0.5,16
중랑구,25,0.016,0.5,14
동대문구,24,0.015,0.5,17
성북구,31,0.014,0.7,14
도봉구,24,0.02,0.4,18
강북구,32,0.018,0.5,17
노원구,29,0.016,0.5,20
강서구,31,0.017,0.5,17
구로구,29,0.017,0.4,13
영등포구,24,0.016,0.5,15
동작구,29,0.016,0.4,18
관악구,23,0.015,0.5,14
금천구,32,0.015,0.6,19
양천구,29,0.014,0.6,18
강남구,22,0.016,0.5,16
서초구,23,0.018,0.4,14
송파구,25,0.015,0.5,17
강동구,30,0.015,0.4,19
중구,31,0.019,0.4,16
종로구,26,0.023,0.4,16
용산구,35,0.014,0.4,14
은평구,23,0.022,0.6,14
서대문구,20,0.018,0.8,9
마포구,23,0.015,0.4,14
광진구,23,0.014,0.5,16
성동구,23,0.02,0.4,16
중랑구,25,0.017,0.5,14
동대문구,22,0.02,0.4,16
성북구,27,0.017,0.5,11
도봉구,23,0.023,0.3,16
강북구,28,0.019,0.4,15
노원구,27,0.022,0.4,18
강서구,27,0.018,0.5,15
구로구,25,0.017,0.3,11
영등포구,24,0.016,0.5,14
동작구,28,0.016,0.4,16
관악구,22,0.015,0.5,12
금천구,27,0.017,0.5,16
양천구,28,0.018,0.5,16
강남구,21,0.018,0.4,14
서초구,23,0.018,0.4,14
송파구,24,0.018,0.5,16
강동구,28,0.018,0.4,19
중구,26,0.022,0.4,13
종로구,24,0.024,0.4,14
용산구,29,0.017,0.4,12
은평구,20,0.025,0.5,11
서대문구,17,0.021,0.7,7
마포구,20,0.018,0.4,11
광진구,20,0.016,0.5,14
성동구,19,0.023,0.4,13
중랑구,22,0.019,0.4,12
동대문구,19,0.022,0.4,14
성북구,25,0.019,0.5,11
도봉구,19,0.027,0.3,13
강북구,28,0.022,0.4,15
노원구,24,0.025,0.4,16
강서구,24,0.022,0.4,13
구로구,22,0.021,0.3,9
영등포구,20,0.018,0.4,12
동작구,27,0.021,0.3,15
관악구,20,0.019,0.4,11
금천구,25,0.021,0.4,14
양천구,26,0.021,0.4,15
강남구,18,0.02,0.4,13
서초구,21,0.022,0.3,11
송파구,22,0.02,0.4,15
강동구,25,0.022,0.3,15
중구,52,0.017,0.6,31
종로구,45,0.018,0.6,30
